Film,Year (Ceremony),Awards,Nominations,Best Picture
Wings,1927 (1st),2,2,True
7th Heaven,1927 (1st),3,5,False
Sunrise: A Song of Two Humans,1927 (1st),3,4,False
The Last Command,1928 (1st),1,2,False
Street Angel,1928 (1st) / (2nd),1,3,False
Tempest,1928 (1st),1,1,False
The Dove,1927 (1st),1,1,False
The Way of All Flesh,1927 (1st),1,1,False
Two Arabian Knights,1927 (1st),1,1,False
Underworld,1927 (1st),1,1,False
Sadie Thompson,1928 (1st),0,2,False
The Crowd,1928 (1st),0,2,False
A Ship Comes In,1928 (1st),0,1,False
Chang: A Drama of the Wilderness,1927 (1st),0,1,False
Glorious Betsy,1928 (1st),0,1,False
Sorrell and Son,1927 (1st),0,1,False
Speedy,1928 (1st),0,1,False
The Devil Dancer,1927 (1st),0,1,False
The Jazz Singer,1927 (1st),0 (1),1,False
The Magic Flame,1927 (1st),0,1,False
The Noose,1928 (1st),0,1,False
The Patent Leather Kid,1927 (1st),0,1,False
The Private Life of Helen of Troy,1927 (1st),0,1,False
The Racket,1928 (1st),0,1,False
The Circus,1928 (1st),0 (1),0,False
The Broadway Melody,1929 (2nd),1,3,True
In Old Arizona,1928 (2nd),1,5,False
The Patriot,1928 (2nd),1,5,False
The Divine Lady,1928 (2nd),1,3,False
Coquette,1929 (2nd),1,1,False
The Bridge of San Luis Rey,1929 (2nd),1,1,False
White Shadows in the South Seas,1928 (2nd),1,1,False
Alibi,1929 (2nd),0,3,False
Madame X,1929 (2nd),0,2,False
Our Dancing Daughters,1928 (2nd),0,2,False
The Valiant,1929 (2nd),0,2,False
4 Devils,1928 (2nd),0,1,False
A Woman of Affairs,1928 (2nd),0,1,False
Drag,1929 (2nd),0,1,False
Dynamite,1929 (2nd),0,1,False
Sal of Singapore,1928 (2nd),0,1,False
Skyscraper,1928 (2nd),0,1,False
The Awakening,1928 (2nd),0,1,False
The Barker,1928 (2nd),0,1,False
The Cop,1928 (2nd),0,1,False
The Hollywood Revue of 1929,1929 (2nd),0,1,False
The Last of Mrs. Cheyney,1929 (2nd),0,1,False
The Leatherneck,1929 (2nd),0,1,False
