Director,Producer,Screenwriter,Distributor,Production Co,Rating,Genre,Original Language,Release Date (Theaters),Release Date (Streaming),Box Office (Gross USA),Runtime,Sound Mix,Aspect Ratio,Movie Name,Critics Score,Audience Score,Rerelease Date (Theaters),Release Date (DVD)
Curtis Hanson,"Michael G. Nathanson, 
Arnon Milchan, 
Curtis Hanson","Curtis Hanson, 
James Ellroy, 
Brian Helgeland","Warner Home Vídeo, 
Warner Bros.","Warner Brothers, 
Regency Enterprises",R,"Crime, 
Drama",English,"Sep 19, 1997, Original","Dec 12, 2015",$64.6M,2h 16m,"Surround, 
DTS, 
Dolby Digital","35mm, 
Scope (2.35:1)",L.A. Confidential,99%,94%,,
Francis Ford Coppola,Albert S. Ruddy,"Francis Ford Coppola, 
Mario Puzo, 
Mario Puzo",Paramount Pictures,Paramount Pictures,R,"Crime, 
Drama",English,"Mar 15, 1972, Wide","Aug 1, 2013",$134.8M,2h 57m,Mono,Flat (1.85:1),The Godfather,97%,98%,"Feb 25, 2022",
Michael Curtiz,Hal B. Wallis,"Murray Burnett, 
Joan Alison, 
Julius J. Epstein, 
Philip G. Epstein, 
Howard Koch",Warner Bros. Pictures,Warner Brothers,PG,Drama,English,"Jan 23, 1943, Wide","Aug 15, 2008",,1h 42m,Mono,Flat (1.37:1),Casablanca,99%,95%,,
Akira Kurosawa,Sojiro Motoki,"Shinobu Hashimoto, 
Akira Kurosawa, 
Hideo Oguni",Columbia Pictures,Toho Company,,Action,Japanese,"Nov 19, 1956, Wide","Nov 29, 2011",$487.3K,3h 28m,Mono,Flat (1.37:1),Seven Samurai,100%,97%,"Jul 5, 2024",
Bong Joon Ho,"Kwak Sin-ae, 
Moon Yanggwon","Bong Joon Ho, 
Han Jinwon",Neon,"CJ Entertainment, 
Barunson E&A",R (Sexual Content|Language|Some Violence),"Comedy, 
Mystery & Thriller, 
Drama",Korean,"Nov 1, 2019, Wide","Oct 11, 2019",$53.4M,2h 12m,"Dolby Atmos, 
Dolby Digital",Scope (2.35:1),Parasite,99%,90%,,
Steven Spielberg,"Branko Lustig, 
Gerald R. Molen, 
Steven Spielberg",Steven Zaillian,Universal Pictures,"Universal Pictures, 
Amblin Entertainment",R (Language|Actuality Violence|Some Sexuality),"History, 
Drama",English,"Dec 15, 1993, Wide","Mar 5, 2013",$96.6M,3h 15m,"Dolby Atmos, 
Stereo, 
Dolby Digital, 
DTS, 
Surround",,Schindler's List,98%,97%,"Dec 7, 2018",
Joseph Kosinski,"Jerry Bruckheimer, 
Tom Cruise, 
David Ellison, 
Christopher McQuarrie","Ehren Kruger, 
Eric Warren Singer, 
Christopher McQuarrie",Paramount Pictures,"Don Simpson/Jerry Bruckheimer Films, 
Paramount Pictures, 
Jerry Bruckheimer Films, 
Skydance Media",PG-13 (Some Strong Language|Sequences of Intense Action),"Action, 
Adventure",English,"May 27, 2022, Wide","Aug 22, 2022",$718.5M,2h 11m,Dolby Atmos,Scope (2.35:1),Top Gun: Maverick,96%,99%,"Sep 8, 2023",
"Ash Brannon, 
John Lasseter, 
Lee Unkrich","Karen Robert Jackson, 
Helene Plotkin","John Lasseter, 
Pete Docter, 
Ash Brannon, 
Andrew Stanton, 
Andrew Stanton, 
Rita Hsiao, 
Doug Chamberlain, 
Chris Webb",Walt Disney Pictures,"Walt Disney Pictures, 
Pixar Animation Studios",G,"Kids & Family, 
Comedy, 
Adventure, 
Fantasy, 
Animation",English,"Nov 24, 1999, Wide","Jan 1, 2014",$245.9M,1h 32m,"Dolby SR, 
Dolby Stereo, 
Surround, 
SDDS, 
DTS, 
Dolby EX, 
Dolby Digital","Digital Projection, 
Flat (1.85:1)",Toy Story 2,100%,87%,"Oct 2, 2009",
Roman Polanski,Robert Evans,"Robert Towne, 
Roman Polanski",Paramount Pictures,Paramount Pictures,R,"Crime, 
Drama",English,"Jun 20, 1974, Original","Aug 1, 2013",,2h 11m,Mono,Scope (2.35:1),Chinatown,98%,93%,,
Elia Kazan,Sam Spiegel,"Budd Schulberg, 
Budd Schulberg",Columbia Pictures,Columbia Pictures Corporation,,Drama,English,"Jul 28, 1954, Original","Jan 14, 2014",,1h 48m,Mono,35mm,On the Waterfront,99%,95%,,
